GENERATION_PROJECT,build_year,build_gen_predetermined,gen_can_retire_early
Shanxi-EP_Coal_600_DRY-ep-190,2013,600,1
Shanxi-EP_Coal_600_DRY-ep-191,2013,600,1
Shanxi-EP_Coal_600_DRY-ep-192,2005,600,1
Shanxi-EP_Coal_600_DRY-ep-193,2005,600,1
Shanxi-EP_Coal_600_DRY-ep-194,2008,600,1
Shanxi-EP_Coal_600_DRY-ep-195,2008,600,1
Shanxi-EP_Coal_600_DRY-ep-196,2012,600,1
Shanxi-EP_Coal_600_DRY-ep-197,2011,600,1
Shanxi-EP_Coal_600_RC-ep-198,2006,600,1
Shanxi-EP_Coal_600_RC-ep-199,2006,600,1
Shanxi-EP_Coal_600_DRY-ep-200,2008,600,1
Shanxi-EP_Coal_600_DRY-ep-201,2008,600,1
Shanxi-EP_Coal_600_DRY-ep-202,2007,600,1
Shanxi-EP_Coal_600_DRY-ep-203,2006,600,1
Shanxi-EP_Coal_600_RC-ep-204,2005,600,1
Shanxi-EP_Coal_600_RC-ep-205,2004,600,1
Shanxi-EP_Coal_600_DRY-ep-206,2008,600,1
Shanxi-EP_Coal_600_DRY-ep-207,2007,600,1
Shanxi-EP_Coal_600_DRY-ep-208,2012,600,1
Shanxi-EP_Coal_600_DRY-ep-209,2011,600,1
Shanxi-EP_Coal_600_RC-ep-210,2007,600,1
Shanxi-EP_Coal_600_RC-ep-211,2007,600,1
Shanxi-EP_Coal_600_DRY-ep-212,2012,600,1
Shanxi-EP_Coal_600_DRY-ep-213,2012,600,1
Shanxi-EP_Coal_600_DRY-ep-214,2011,600,1
Shanxi-EP_Coal_600_DRY-ep-215,2011,600,1
Shanxi-EP_Coal_600_DRY-ep-216,2009,600,1
Shanxi-EP_Coal_600_DRY-ep-217,2009,600,1
Shanxi-EP_Coal_600_DRY-ep-218,2007,600,1
Shanxi-EP_Coal_600_DRY-ep-219,2007,600,1
Shanxi-EP_Coal_600_RC-ep-220,1993,500,1
Shanxi-EP_Coal_600_RC-ep-221,1992,500,1
Shanxi-EP_Coal_600_RC-ep-222,2005,500,1
Shanxi-EP_Coal_600_RC-ep-223,2005,500,1
Shanxi-Coal_Small_RC-ep-224,1990,487,1
Shanxi-Coal_Small_DRY-ep-225,1990,400,1
Shanxi-EP_Coal_300_DRY-ep-226,2015,350,1
Shanxi-EP_Coal_300_DRY-ep-227,2015,350,1
Shanxi-EP_Coal_300_DRY-ep-228,2015,350,1
Shanxi-EP_Coal_300_DRY-ep-229,2015,350,1
Shanxi-EP_Coal_300_RC-ep-230,2000,350,1
Shanxi-EP_Coal_300_RC-ep-231,2000,350,1
Shanxi-EP_Coal_300_DRY-ep-232,2015,350,1
Shanxi-EP_Coal_300_DRY-ep-233,2015,350,1
Shanxi-EP_Coal_300_RC-ep-234,2001,350,1
Shanxi-EP_Coal_300_RC-ep-235,2002,350,1
Shanxi-EP_Coal_300_RC-ep-236,2001,350,1
Shanxi-EP_Coal_300_RC-ep-237,2001,350,1
Shanxi-EP_Coal_300_RC-ep-238,2001,350,1
Shanxi-EP_Coal_300_RC-ep-239,2001,350,1
