TRANSMISSION_LINE,trans_dbid,trans_lz_send,trans_lz_receive,trans_length_km,trans_efficiency,existing_trans_cap,trans_new_build_allowed
Shandong-Xinjiang,168,Shandong,Xinjiang,2602.64,0.838279,0.0,True
Shanghai-Jiangsu,117,Shanghai,Jiangsu,270.654,0.983182,2500.0,True
Shanghai-Zhejiang,118,Shanghai,Zhejiang,165.398,0.989723,7500.0,True
Shanxi-Hebei,119,Shanxi,Hebei,169.474,0.989469,2500.0,True
Shanxi-Henan,120,Shanxi,Henan,359.545,0.977659,0.0,True
Shanxi-Hunan,121,Shanxi,Hunan,1075.97,0.933142,5000.0,True
Shanxi-Jiangsu,122,Shanxi,Jiangsu,859.141,0.946615,5000.0,True
Shanxi-Shaanxi,123,Shanxi,Shaanxi,516.593,0.9679,0.0,True
Shanxi-Shandong,124,Shanxi,Shandong,414.71,0.974231,6500.0,True
Shanxi-West_Inner_Mongolia,125,Shanxi,West_Inner_Mongolia,337.127,0.979052,2500.0,True
Sichuan-Chongqing,126,Sichuan,Chongqing,263.831,0.983606,6500.0,True
Sichuan-Gansu,127,Sichuan,Gansu,602.017,0.962592,0.0,True
Sichuan-Guangdong,128,Sichuan,Guangdong,1236.78,0.92315,14400.0,True
Sichuan-Guizhou,129,Sichuan,Guizhou,521.604,0.967589,0.0,True
Sichuan-Hunan,130,Sichuan,Hunan,903.926,0.943833,10500.0,True
Sichuan-Qinghai,131,Sichuan,Qinghai,694.63,0.956838,0.0,True
Sichuan-Shaanxi,132,Sichuan,Shaanxi,607.159,0.962273,0.0,True
Sichuan-Tibet,133,Sichuan,Tibet,1249.31,0.922371,0.0,False
Sichuan-Yunnan,134,Sichuan,Yunnan,639.092,0.960289,0.0,True
Tianjin-Beijing,135,Tianjin,Beijing,112.881,0.992986,2500.0,True
Tianjin-East_Inner_Mongolia,174,Tianjin,East_Inner_Mongolia,918.685,0.942916,0.0,True
Tianjin-Hebei,136,Tianjin,Hebei,264.963,0.983536,2500.0,True
Tianjin-Shandong,137,Tianjin,Shandong,274.539,0.982941,7500.0,True
Tibet-Qinghai,138,Tibet,Qinghai,1256.33,0.921936,1500.0,False
Tibet-Sichuan,139,Tibet,Sichuan,1249.31,0.922371,0.0,False
Tibet-Xinjiang,140,Tibet,Xinjiang,1602.25,0.900441,0.0,False
Tibet-Yunnan,141,Tibet,Yunnan,1251.93,0.922209,0.0,False
West_Inner_Mongolia-East_Inner_Mongolia,142,West_Inner_Mongolia,East_Inner_Mongolia,981.676,0.939001,0.0,True
West_Inner_Mongolia-Gansu,143,West_Inner_Mongolia,Gansu,867.854,0.946074,0.0,True
West_Inner_Mongolia-Hebei,144,West_Inner_Mongolia,Hebei,392.627,0.975603,2500.0,True
West_Inner_Mongolia-Jiangxi,145,West_Inner_Mongolia,Jiangxi,1404.34,0.912738,7200.0,True
West_Inner_Mongolia-Ningxia,146,West_Inner_Mongolia,Ningxia,530.462,0.967039,0.0,True
West_Inner_Mongolia-Shaanxi,147,West_Inner_Mongolia,Shaanxi,767.499,0.95231,0.0,True
West_Inner_Mongolia-Shanxi,148,West_Inner_Mongolia,Shanxi,337.127,0.979052,19500.0,True
Xinjiang-Gansu,149,Xinjiang,Gansu,1618.11,0.899455,2500.0,True
Xinjiang-Henan,150,Xinjiang,Henan,2443.06,0.848195,14400.0,True
Xinjiang-Qinghai,151,Xinjiang,Qinghai,1441.96,0.910401,2500.0,True
Xinjiang-Shandong,152,Xinjiang,Shandong,2602.64,0.838279,7200.0,True
Xinjiang-Tibet,153,Xinjiang,Tibet,1602.25,0.900441,0.0,False
Yunnan-Guangdong,154,Yunnan,Guangdong,1092.54,0.932113,24700.0,True
Yunnan-Guangxi,155,Yunnan,Guangxi,621.764,0.961365,2500.0,True
Yunnan-Guizhou,156,Yunnan,Guizhou,435.779,0.972922,5500.0,True
Yunnan-Sichuan,157,Yunnan,Sichuan,639.092,0.960289,0.0,True
Yunnan-Tibet,158,Yunnan,Tibet,1251.93,0.922209,0.0,False
Yunnan-Zhejiang,159,Yunnan,Zhejiang,1812.17,0.887397,15200.0,True
Zhejiang-Anhui,160,Zhejiang,Anhui,327.053,0.979678,2500.0,True
Zhejiang-Fujian,161,Zhejiang,Fujian,473.207,0.970596,2500.0,True
Zhejiang-Jiangsu,162,Zhejiang,Jiangsu,238.01,0.985211,2500.0,True
Zhejiang-Jiangxi,163,Zhejiang,Jiangxi,448.594,0.972126,0.0,True
Zhejiang-Ningxia,165,Zhejiang,Ningxia,1564.38,0.902794,0.0,True
Zhejiang-Shanghai,164,Zhejiang,Shanghai,165.398,0.989723,2500.0,True
Zhejiang-Yunnan,184,Zhejiang,Yunnan,1812.17,0.887397,0.0,True
