GENERATION_PROJECT,gen_dbid,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_flexible_baseload,gen_is_baseload,gen_can_provide_spinning_reserves,gen_can_provide_quickstart_reserves,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_min_load_fraction,gen_is_pumped_hydro
Guizhou-Coal_100_RC-ep-2206,existing.2206,Coal_100_RC,Coal,Guizhou,30,FALSE,TRUE,FALSE,FALSE,FALSE,9.06,3,0,0.52,0.05,135,100,FALSE,.,0.4,FALSE
Guizhou-Coal_100_RC-ep-2207,existing.2207,Coal_100_RC,Coal,Guizhou,30,FALSE,TRUE,FALSE,FALSE,FALSE,9.06,3,0,0.52,0.05,135,100,FALSE,.,0.4,FALSE
Guizhou-Coal_100_RC-ep-2208,existing.2208,Coal_100_RC,Coal,Guizhou,30,FALSE,TRUE,FALSE,FALSE,FALSE,9.06,3,0,0.52,0.05,135,100,FALSE,.,0.4,FALSE
Guizhou-Coal_300_RC-12731,new.12731,Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.92,5,300,0.37,0.05,.,300,FALSE,.,0.4,FALSE
Guizhou-Coal_300_RC-12741,new.12741,Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.92,5,300,0.37,0.05,.,300,FALSE,.,0.4,FALSE
Guizhou-Coal_300_RC-12751,new.12751,Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.92,5,300,0.37,0.05,.,300,FALSE,.,0.4,FALSE
Guizhou-Coal_300_RC-12761,new.12761,Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.92,5,300,0.37,0.05,.,300,FALSE,.,0.4,FALSE
Guizhou-Coal_600_RC-12729,new.12729,Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.45,5,300,0.34,0.05,.,600,FALSE,.,0.4,FALSE
Guizhou-Coal_600_RC-12739,new.12739,Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.45,5,300,0.34,0.05,.,600,FALSE,.,0.4,FALSE
Guizhou-Coal_600_RC-12749,new.12749,Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.45,5,300,0.34,0.05,.,600,FALSE,.,0.4,FALSE
Guizhou-Coal_600_RC-12759,new.12759,Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.45,5,300,0.34,0.05,.,600,FALSE,.,0.4,FALSE
Guizhou-Coal_IGCC_RC-12733,new.12733,Coal_IGCC_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.89,5,300,0.52,0.05,.,265,FALSE,.,0.4,FALSE
Guizhou-Coal_IGCC_RC-12743,new.12743,Coal_IGCC_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.89,5,300,0.52,0.05,.,265,FALSE,.,0.4,FALSE
Guizhou-Coal_IGCC_RC-12753,new.12753,Coal_IGCC_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.89,5,300,0.52,0.05,.,265,FALSE,.,0.4,FALSE
Guizhou-Coal_IGCC_RC-12763,new.12763,Coal_IGCC_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.89,5,300,0.52,0.05,.,265,FALSE,.,0.4,FALSE
Guizhou-Coal_Small_RC-ep-2145,existing.2145,Coal_Small_RC,Coal,Guizhou,30,FALSE,TRUE,FALSE,FALSE,FALSE,9.68,3,0,0.52,0.05,1756.6,25,FALSE,.,0.4,FALSE
Guizhou-Commercial_PV-141,new.141,Commercial_PV,Solar,Guizhou,20,TRUE,FALSE,FALSE,TRUE,FALSE,.,0,0,0,0.02,166.6666667,0,FALSE,.,0,FALSE
Guizhou-Commercial_PV-29,new.29,Commercial_PV,Solar,Guizhou,20,TRUE,FALSE,FALSE,TRUE,FALSE,.,0,0,0,0.02,166.6666667,0,FALSE,.,0,FALSE
Guizhou-Commercial_PV-30,new.30,Commercial_PV,Solar,Guizhou,20,TRUE,FALSE,FALSE,TRUE,FALSE,.,0,0,0,0.02,166.6666667,0,FALSE,.,0,FALSE
Guizhou-Commercial_PV-31,new.31,Commercial_PV,Solar,Guizhou,20,TRUE,FALSE,FALSE,TRUE,FALSE,.,0,0,0,0.02,166.6666667,0,FALSE,.,0,FALSE
Guizhou-Commercial_PV-32,new.32,Commercial_PV,Solar,Guizhou,20,TRUE,FALSE,FALSE,TRUE,FALSE,.,0,0,0,0.02,166.6666667,0,FALSE,.,0,FALSE
Guizhou-Commercial_PV-33,new.33,Commercial_PV,Solar,Guizhou,20,TRUE,FALSE,FALSE,TRUE,FALSE,.,0,0,0,0.02,166.6666667,0,FALSE,.,0,FALSE
Guizhou-EP_Coal_300_RC-ep-2168,existing.2168,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2169,existing.2169,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2170,existing.2170,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2171,existing.2171,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2172,existing.2172,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2173,existing.2173,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2174,existing.2174,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2175,existing.2175,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2176,existing.2176,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2177,existing.2177,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2178,existing.2178,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2179,existing.2179,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2180,existing.2180,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2181,existing.2181,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2182,existing.2182,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2183,existing.2183,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2184,existing.2184,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2185,existing.2185,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2186,existing.2186,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2187,existing.2187,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2188,existing.2188,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2189,existing.2189,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2190,existing.2190,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2191,existing.2191,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2192,existing.2192,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2193,existing.2193,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2194,existing.2194,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2195,existing.2195,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2196,existing.2196,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2197,existing.2197,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2198,existing.2198,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-2199,existing.2199,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,300,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-3179,existing.3179,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,350,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_300_RC-ep-3180,existing.3180,EP_Coal_300_RC,Coal,Guizhou,35,FALSE,TRUE,FALSE,FALSE,FALSE,8.53,3,0,0.37,0.05,350,300,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-2146,existing.2146,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,660,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-2147,existing.2147,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,660,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-2148,existing.2148,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,660,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-2149,existing.2149,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,660,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-2150,existing.2150,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,660,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-2151,existing.2151,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,660,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-2152,existing.2152,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,600,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-2153,existing.2153,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,600,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-2154,existing.2154,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,600,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-2155,existing.2155,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,600,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-2156,existing.2156,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,600,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-2157,existing.2157,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,600,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-2158,existing.2158,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,600,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-2159,existing.2159,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,600,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-2160,existing.2160,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,600,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-2161,existing.2161,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,600,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-2162,existing.2162,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,600,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-2163,existing.2163,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,600,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-2164,existing.2164,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,600,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-2165,existing.2165,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,600,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-2166,existing.2166,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,600,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-2167,existing.2167,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,600,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-3181,existing.3181,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,660,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-3182,existing.3182,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,660,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-3183,existing.3183,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,660,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-3184,existing.3184,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,660,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-3185,existing.3185,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,660,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-3186,existing.3186,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,660,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-3187,existing.3187,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,660,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-3188,existing.3188,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,660,600,FALSE,.,0.4,FALSE
Guizhou-EP_Coal_600_RC-ep-3189,existing.3189,EP_Coal_600_RC,Coal,Guizhou,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.93,3,0,0.34,0.05,660,600,FALSE,.,0.4,FALSE
Guizhou-Gas_CCGT_RC-12735,new.12735,Gas_CCGT_RC,Gas,Guizhou,20,FALSE,FALSE,FALSE,TRUE,TRUE,7.02,2,300,0.65,0.0224,.,150,TRUE,.,0.45,FALSE
Guizhou-Gas_CCGT_RC-12745,new.12745,Gas_CCGT_RC,Gas,Guizhou,20,FALSE,FALSE,FALSE,TRUE,TRUE,7.02,2,300,0.65,0.0224,.,150,TRUE,.,0.45,FALSE
Guizhou-Gas_CCGT_RC-12755,new.12755,Gas_CCGT_RC,Gas,Guizhou,20,FALSE,FALSE,FALSE,TRUE,TRUE,7.02,2,300,0.65,0.0224,.,150,TRUE,.,0.45,FALSE
Guizhou-Gas_CCGT_RC-12765,new.12765,Gas_CCGT_RC,Gas,Guizhou,20,FALSE,FALSE,FALSE,TRUE,TRUE,7.02,2,300,0.65,0.0224,.,150,TRUE,.,0.45,FALSE
Guizhou-Gas_Combustion_Turbine_RC-13481,new.13481,Gas_Combustion_Turbine_RC,Gas,Guizhou,20,FALSE,FALSE,FALSE,TRUE,TRUE,9.76,2,300,0.0318,0.0413,.,0,FALSE,.,0.4,FALSE
Guizhou-Hydro_NonPumped-ep-30009,existing.30009,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,55.43,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30040,existing.30040,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,35.46,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30071,existing.30071,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,41.32,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30102,existing.30102,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,49.58,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30133,existing.30133,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,28.23,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30164,existing.30164,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,38.56,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30195,existing.30195,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,91.24,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30226,existing.30226,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,86.42,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30257,existing.30257,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,64.73,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30288,existing.30288,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,50.61,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30319,existing.30319,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,63.01,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30350,existing.30350,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,96.4,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30381,existing.30381,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,134.62,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30412,existing.30412,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,153.9,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30443,existing.30443,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,107.42,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30474,existing.30474,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,117.06,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30505,existing.30505,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,142.88,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30536,existing.30536,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,183.51,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30564,existing.30564,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,60,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30587,existing.30587,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,60,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30610,existing.30610,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,349.39,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30633,existing.30633,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,544.16,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30656,existing.30656,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,456.44,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30680,existing.30680,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,3190,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30728,existing.30728,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,330,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30752,existing.30752,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,300,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30775,existing.30775,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,680,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30798,existing.30798,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,1260,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30818,existing.30818,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,4140,0,FALSE,.,0.3,FALSE
Guizhou-Hydro_NonPumped-ep-30842,existing.30842,Hydro_NonPumped,Water,Guizhou,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,3000,0.094,0.051,2940,0,FALSE,.,0.3,FALSE
