regional_fuel_market,period,tier,unit_cost,max_avail_at_cost
Tibet,2038,0,19.1470512390137,1000000000.0
Tibet,2043,0,20.3330612182617,1000000000.0
Tibet,2048,0,21.5190696716309,1000000000.0
West_Inner_Mongolia,2023,0,15.6264331817627,1000000000.0
West_Inner_Mongolia,2028,0,16.9608615875244,1000000000.0
West_Inner_Mongolia,2033,0,18.1819072723389,1000000000.0
West_Inner_Mongolia,2038,0,19.1470512390137,1000000000.0
West_Inner_Mongolia,2043,0,20.3330612182617,1000000000.0
West_Inner_Mongolia,2048,0,21.5190696716309,1000000000.0
Xinjiang,2023,0,15.6264331817627,9490234.0
Xinjiang,2028,0,16.9608615875244,9490234.0
Xinjiang,2033,0,18.1819072723389,9490234.0
Xinjiang,2038,0,19.1470512390137,9490234.0
Xinjiang,2043,0,20.3330612182617,9490234.0
Xinjiang,2048,0,21.5190696716309,9490234.0
Yunnan,2023,0,15.6264331817627,1000000000.0
Yunnan,2028,0,16.9608615875244,1000000000.0
Yunnan,2033,0,18.1819072723389,1000000000.0
Yunnan,2038,0,19.1470512390137,1000000000.0
Yunnan,2043,0,20.3330612182617,1000000000.0
Yunnan,2048,0,21.5190696716309,1000000000.0
Zhejiang,2023,0,15.6264331817627,1246543524.0
Zhejiang,2028,0,16.9608615875244,1286513358.0
Zhejiang,2033,0,18.1819072723389,1286513358.0
Zhejiang,2038,0,19.1470512390137,1286513358.0
Zhejiang,2043,0,20.3330612182617,1286513358.0
Zhejiang,2048,0,21.5190696716309,1286513358.0
