GENERATION_PROJECT,gen_loading_level,gen_heat_rate_at_loading_level
Anhui-EP_Coal_600_RC-ep-1159,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1159,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1160,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1160,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1161,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1161,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1162,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1162,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1163,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1163,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1164,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1164,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1165,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1165,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1166,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1166,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1167,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1167,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1176,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1176,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1177,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1177,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1178,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1178,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1179,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1179,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1180,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1180,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1181,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1181,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1182,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1182,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1183,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1183,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1184,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1184,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1185,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1185,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1186,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1186,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1187,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1187,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1188,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1188,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1189,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1189,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1190,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1190,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1191,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1191,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1192,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1192,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1193,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1193,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1196,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1196,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1197,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1197,1.0,7.93
Anhui-EP_Coal_600_RC-ep-1198,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-1198,1.0,7.93
Anhui-EP_Coal_600_RC-ep-3097,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-3097,1.0,7.93
Anhui-EP_Coal_600_RC-ep-3098,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-3098,1.0,7.93
Anhui-EP_Coal_600_RC-ep-3099,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-3099,1.0,7.93
Anhui-EP_Coal_600_RC-ep-3100,0.4,8.52475
Anhui-EP_Coal_600_RC-ep-3100,1.0,7.93
Anhui-Gas_CCGT_OT-12113,0.45,8.88978
Anhui-Gas_CCGT_OT-12113,1.0,6.47
Anhui-Gas_CCGT_RC-12123,0.45,9.64548
Anhui-Gas_CCGT_RC-12123,1.0,7.02
Anhui-Gas_CCGT_RC-12133,0.45,9.64548
Anhui-Gas_CCGT_RC-12133,1.0,7.02
Anhui-Gas_Combustion_Turbine_RC-13107,0.4,11.03368
Anhui-Gas_Combustion_Turbine_RC-13107,1.0,9.76
Beijing-Coal_100_OT-ep-19,0.4,9.81475
Beijing-Coal_100_OT-ep-19,1.0,9.13
Beijing-Coal_100_OT-ep-20,0.4,9.81475
